ID,NOMB_PROY,ETAP_PROY,JEFE_PROY,INST_PROY,CAMPAÑA,ZONA,ESTACION,LATITUD,LONGITUD,Fecha,Hora Muestreo,VARIABLE,VALOR,FECHA_MUESTREO,COD_REGION
1,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,1,412614.9,721747.9,2024-05-20,09:35:00,PH,6.896666666666667,20/05/2024 09:35:00,X
2,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,2,412807.3,721843.5,2024-05-20,09:16:00,PH,7.34,20/05/2024 09:16:00,X
3,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,3,412945.4,721845.5,2024-05-19,16:20:00,PH,7.096666666666667,19/05/2024 16:20:00,X
4,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,5,413039.3,721721.1,2024-05-19,15:50:00,PH,7.43,19/05/2024 15:50:00,X
5,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,6,413132.6,722021.4,2024-05-19,15:00:00,PH,7.333333333333333,19/05/2024 15:00:00,X
6,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,7,413157.8,721802.6,2024-05-19,15:30:00,PH,7.433333333333334,19/05/2024 15:30:00,X
7,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,8,413533.0,722110.7,2024-05-19,14:15:00,PH,7.1000000000000005,19/05/2024 14:15:00,X
8,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,12,413938.3,722058.9,2024-05-19,11:00:00,PH,7.170000000000001,19/05/2024 11:00:00,X
9,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,17,414052.7,722801.1,2024-05-19,09:45:00,PH,7.420000000000001,19/05/2024 09:45:00,X
10,ESTUDIO SEGUIMIENTO DESEMPEÑO AMBIENTAL ACUICULTURA EN CHILE Y SU EFECTO EN LOS ECOSISTEMAS DE EMPLAZAMIENTO 2024-2025,Objetivo 1. Actividad 2. Muestreos y Analisis sedimentos,Johana Ojeda ,INSTITUTO DE FOMENTO PESQUERO,Campaña_Otoño-Inv_2024.Proy.SeguimientoAmbiental,Estuario,21,414330.8,723048.5,2024-05-19,09:00:00,PH,7.316666666666667,19/05/2024 09:00:00,X
